Timestamp,Camp Size,Average Per Person Camp Contribution,Contribution Range,Camp Total Annual Budget,How are camp contributions structured?,Do you collect contributions through an entity?,NOTAFLOF for low/no income campers?,Camp Amenities,Do supplemental contributions support other camp amenities (in addition to core contribution),Do you offer financial incentives (e.g. discounts or refunds) to folks who come to early build and/or late strike,Commentary,Camp Name,ContributionRangeLow,ContributionRangeHigh,Tidbits
2024/05/01 3:05:50 PM AST,50,350,350,,Flat Fee,Not incorporated,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,No,,Camp Beaverton,,,
2024/05/01 3:24:36 PM AST,40,650,150,30000,Tiered based on financial capability,Tax exempt organization - 501(c)(3),"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - high power hookups (e.g. for RVs),No,Everyone works. No exceptions. Else it creates a different kind of class system ,The refuge,,,
2024/05/01 3:28:11 PM AST,25,800,800,15000,Flat Fee,Not incorporated,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);Ice",,No,,,,,
2024/05/01 3:43:15 PM AST,70,700,,,Tiered based on participation or camp roles;Tiered based on financial capability,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",Yes - bike rentals;Yes - high power hookups (e.g. for RVs),Yes,,NYC Deli,,,
2024/05/01 3:57:50 PM AST,70,400,200-550,22000,Tiered based on participation or camp roles;Tiered based on time (closer to burn = more expensive),A fiscal sponsor e.g. Burner Network ,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",Yes - bike rentals,Maybe,,"New York Dangerous
Fiscal Sponsor is House of Good Deeds",200,550,
2024/05/01 3:58:49 PM AST,55,1450,500-3500,90000,Tiered based on financial capability;Tiered based on time (closer to burn = more expensive),Non-exempt organization (e.g. LLC without nonprofit status),"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",Yes - equipment transport;No,Yes,,node,500,3500,
2024/05/01 6:57:19 PM AST,75,550,450 - 750,65000,Tiered based on time (closer to burn = more expensive);Tiered based on financial capability,Non-exempt organization (e.g. LLC without nonprofit status),"Yes, informally",Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Booze,No,No,,,450,750,
2024/05/01 7:48:47 PM AST,85,300,300/PP + 275 per RV or Tent AC for power grid.  The grid is entirely voluntary.  ,28000,Flat Fee,Non-exempt organization (e.g. LLC without nonprofit status),"Yes, informally","Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - high power hookups (e.g. for RVs),No,My camp is on hiatus but the 2024 numbers would be similar to 2023.  Responding to help provide data.  ,Cabana Club,,,
2024/05/01 9:42:16 PM AST,25,,250-650+,,Tiered based on financial capability,Not incorporated,No,Private Camper Lounge / Shade Structure;Power,Yes - food,Yes,"honestly - the more you know them / are part of the inner circle, the less you have to work or do anything but pay your dues and show up
Not tiered, more asking all campers to contribute as much as you can","Not saying exact name, but it’s an academic camp
Food extra 25-50",250,650,
2024/05/01 10:09:22 PM AST,150,225,150-300,,Flat Fee,Not incorporated,No,Meals (at least 1 meal/day);Shower,No,Maybe,,,150,300,
2024/05/01 11:16:11 PM AST,100,1000,1000,100000,Flat Fee;Tiered based on financial capability,Tax exempt organization - 501(c)(3),"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",No,No,We try to accommodate the financial situations for our high contributors . Have done RV hookups in the past,Alborz,,,TCO/campers as benefactor
2024/05/01 11:33:07 PM AST,80,70,,,Flat Fee,Not incorporated,No,"Water;Greywater Management (evap ponds, totes, pump-outs, etc.)",,No,,,,,
2024/05/02 12:27:46 AM AST,50,65,,,Tiered based on financial capability,Not incorporated,"Yes, informally","Shower;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);Private Camper Lounge / Shade Structure",No,No,,Awesome(ville!),,,
2024/05/02 6:15:40 AM AST,40,750,,30000,Flat Fee,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.)",,No,,Galactic Cruzaders,,,
2024/05/02 4:54:39 PM AST,24,200,,,Flat Fee,Not incorporated,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Power;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice","Yes - capital improvements/infra (e.g. new shade structure, etc)",No,Super supremely chill - thank goodness! $150 required and anything else is just contributed to the fun!,,150,200,
2024/05/02 9:33:47 PM AST,35,350,250-550,,Tiered based on participation or camp roles;Tiered based on financial capability,Not incorporated,No,"Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",,Maybe,"budgeting for a camp our size (30-40) is particularly tough, imo. storage, truck transport, yearly basics, necessary interactivity & infrastructure purchases, etc quickly max out our dues, with little room for New Cool Things — for which TCOs end up spending extra extra. as y’all know. tiered dues has helped these past couple years, because some folks do make a lot more than others. ",,250,550,TCO/campers as benefactor
2024/05/03 12:48:20 PM AST,,300,,,Flat Fee,Not incorporated,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",Yes - equipment transport;Yes - art projects,No,we got the honoraia !!!,sockdrawer ,,,
2024/05/03 7:46:34 PM AST,20,300,300,6000,Flat Fee,Not incorporated,"Yes, formally","Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,Maybe,,the Surge,,,
2024/05/03 9:56:44 PM AST,30,650,450-750,60000,Tiered based on participation or camp roles;Tiered based on time (closer to burn = more expensive),Non-exempt organization (e.g. LLC without nonprofit status),"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",No,Yes,,,450,750,
2024/05/03 10:53:32 PM AST,23,50,We split gas. ,6000,"No required contribution, donations welcome",Not incorporated,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,No,,Kinninigin Sound Culture ,,,
2024/05/04 1:07:15 PM AST,200,450,350-700,70000,Flat Fee,Tax exempt organization - 501(c)(3),"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Power;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",Yes - high power hookups (e.g. for RVs),No,,,350,700,
2024/05/05 5:34:47 AM AST,250,"$5,000 ",,1000000,Flat Fee,Non-exempt organization (e.g. LLC without nonprofit status),,"Water;Meals (at least 1 meal/day);Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.);Ice","Yes - tents;Yes - bike rentals;Yes - capital improvements/infra (e.g. new shade structure, etc)",Yes,,Secret :),,,
2024/05/05 10:10:18 AM AST,15,200,50-200,4000,Flat Fee;Tiered based on financial capability,Not incorporated,"Yes, informally","Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)","Yes - equipment transport;Yes - capital improvements/infra (e.g. new shade structure, etc)",No,Bikes are amenity,,50,2000,
2024/05/06 1:02:39 PM AST,,,,,,,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - equipment transport,No,,Major Tom's Flying Circus,,,
2024/05/07 12:03:22 PM AST,50,325,,18000,Flat Fee,Tax exempt organization - 501(c)(3),"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.)","Yes - art projects;Yes - capital improvements/infra (e.g. new shade structure, etc)",No,,Black Rock Observatory,,,
2024/05/07 1:50:13 PM AST,25,$300 ,$0 (scholarship) - $300,"$5,000 ",Flat Fee,Not incorporated,"Yes, informally",Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower,"Yes - equipment transport;Yes - art projects;Yes - capital improvements/infra (e.g. new shade structure, etc);Yes - Scholarships",No,"Some people need a hand up and either a payment plan for dues or a waiver/scholarship. Some people don’t have money but bring a boatload of tools, shared resources and great energy. It doesn’t pay the bills, but it helps create the camp. 
We share one campers generator bc he was nice enough to let us. ",,0,300,
2024/05/09 1:07:16 AM AST,40,600,,40000,Flat Fee,Tax exempt organization - 501(c)(3),,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management;Ice",,No,,,,,
2024/05/10 12:34:56 AM AST,80,325,,,Flat Fee,Not incorporated,No,Water;Meals (at least 1 meal/day);Shower;Booze;Ice,,No,,,,,
2024/05/10 5:37:00 PM AST,43,200,200-2000,60000,Tiered based on financial capability,Tax exempt organization - 501(c)(7),"Yes, formally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.);Ice","Yes - tents; Yes - bike rentals;Yes - art projects;Yes - capital improvements/infra (e.g. new shade structure, etc)",No,,Future Turtles,200,2000,TCO/campers as benefactor
2024/05/10 5:37:00 PM AST,80,400,200-650,36000,Tiered based on financial capability,,"Yes, formally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - high power hookups (e.g. for RVs),Maybe,,,200,650,
