segment,token,pct_a,pct_b,delta,n_a,n_b
<30_vs_30+,sing,0.0013197586726998493,0.0005649471991656164,0.0007548114735342329,328,1469
<30_vs_30+,while,0.0013197586726998493,0.0005649471991656164,0.0007548114735342329,328,1469
<30_vs_30+,able,0.0013197586726998493,0.0005649471991656164,0.0007548114735342329,328,1469
<30_vs_30+,drinking,0.0003770739064856712,0.0011298943983312328,-0.0007528204918455616,328,1469
<30_vs_30+,times,0.0003770739064856712,0.0011298943983312328,-0.0007528204918455616,328,1469
<30_vs_30+,try,0.000942684766214178,0.0016948415974968494,-0.0007521568312826714,328,1469
<30_vs_30+,get,0.002828054298642534,0.0020859588892268915,0.0007420954094156424,328,1469
<30_vs_30+,wife,0.0,0.0007387771066011907,-0.0007387771066011907,328,1469
<30_vs_30+,helps,0.0015082956259426848,0.0007822345834600843,0.0007260610424826005,328,1469
<30_vs_30+,let,0.0015082956259426848,0.0007822345834600843,0.0007260610424826005,328,1469
<30_vs_30+,deep,0.0001885369532428356,0.000912607014036765,-0.0007240700607939294,328,1469
<30_vs_30+,days,0.0030165912518853697,0.0023032462735213593,0.0007133449783640103,328,1469
<30_vs_30+,dance,0.0030165912518853697,0.0023032462735213593,0.0007133449783640103,328,1469
<30_vs_30+,now,0.0024509803921568627,0.001738299074355743,0.0007126813178011198,328,1469
<30_vs_30+,anxious,0.0007541478129713424,4.345747685889357e-05,0.0007106903361124488,328,1469
<30_vs_30+,involved,0.0007541478129713424,4.345747685889357e-05,0.0007106903361124488,328,1469
<30_vs_30+,red,0.0007541478129713424,4.345747685889357e-05,0.0007106903361124488,328,1469
<30_vs_30+,express,0.0003770739064856712,0.0010864369214723393,-0.0007093630149866681,328,1469
<30_vs_30+,work,0.000942684766214178,0.0016513841206379557,-0.0007086993544237777,328,1469
<30_vs_30+,illegible,0.000942684766214178,0.0016513841206379557,-0.0007086993544237777,328,1469
<30_vs_30+,music,0.0015082956259426848,0.0022163313198035723,-0.0007080356938608875,328,1469
<30_vs_30+,art,0.005090497737556561,0.004389205162748251,0.0007012925748083104,328,1469
<30_vs_30+,experiences,0.0016968325791855204,0.0009995219677545522,0.0006973106114309682,328,1469
<30_vs_30+,anxiety,0.0011312217194570137,0.00043457476858893573,0.0006966469508680779,328,1469
<30_vs_30+,these,0.0,0.0006953196297422972,-0.0006953196297422972,328,1469
nextgen_Virgin_vs_rest,yet,0.008924144769459593,0.0027380590203833284,0.0061860857490762654,128,200
nextgen_Virgin_vs_rest,love,0.012890431333663858,0.007301490721022209,0.005588940612641649,128,200
nextgen_Virgin_vs_rest,here,0.00991571641051066,0.004563431700638881,0.005352284709871779,128,200
nextgen_Virgin_vs_rest,day,0.005949429846306396,0.0018253726802555522,0.004124057166050844,128,200
nextgen_Virgin_vs_rest,dancing,0.0009915716410510659,0.004563431700638881,-0.003571860059587815,128,200
nextgen_Virgin_vs_rest,could,0.004462072384729797,0.001216915120170368,0.0032451572645594284,128,200
nextgen_Virgin_vs_rest,weed,0.0,0.0030422878004259203,-0.0030422878004259203,128,200
nextgen_Virgin_vs_rest,art,0.006941001487357461,0.003954974140553696,0.002986027346803765,128,200
nextgen_Virgin_vs_rest,see,0.004462072384729797,0.0015211439002129601,0.0029409284845168366,128,200
nextgen_Virgin_vs_rest,will,0.005949429846306396,0.0030422878004259203,0.0029071420458804753,128,200
nextgen_Virgin_vs_rest,how,0.00495785820525533,0.0021296014602981443,0.0028282567449571857,128,200
nextgen_Virgin_vs_rest,first,0.005453644025780862,0.0027380590203833284,0.002715585005397534,128,200
nextgen_Virgin_vs_rest,it's,0.005949429846306396,0.003346516580468512,0.0026029132658378835,128,200
nextgen_Virgin_vs_rest,everything,0.0034705007436787306,0.0009126863401277761,0.0025578144035509546,128,200
nextgen_Virgin_vs_rest,more,0.012394645513138325,0.014907210222087009,-0.0025125647089486846,128,200
nextgen_Virgin_vs_rest,boyfriend,0.002478929102627665,0.0,0.002478929102627665,128,200
nextgen_Virgin_vs_rest,other,0.001487357461576599,0.003954974140553696,-0.0024676166789770974,128,200
nextgen_Virgin_vs_rest,dance,0.001487357461576599,0.003954974140553696,-0.0024676166789770974,128,200
nextgen_Virgin_vs_rest,partner,0.002974714923153198,0.000608457560085184,0.0023662573630680137,128,200
nextgen_Virgin_vs_rest,people,0.012890431333663858,0.01064800730149072,0.0022424240321731372,128,200
nextgen_Virgin_vs_rest,water,0.002974714923153198,0.0051718892607240646,-0.0021971743375708667,128,200
nextgen_Virgin_vs_rest,hard,0.002478929102627665,0.000304228780042592,0.002174700322585073,128,200
nextgen_Virgin_vs_rest,would,0.001487357461576599,0.0036507453605111044,-0.0021633878989345055,128,200
nextgen_Virgin_vs_rest,less,0.0039662865642042635,0.0018253726802555522,0.0021409138839487115,128,200
nextgen_Virgin_vs_rest,white,0.0,0.0021296014602981443,-0.0021296014602981443,128,200
nextgen_Virgin_vs_rest,temple,0.002974714923153198,0.0009126863401277761,0.002062028583025422,128,200
nextgen_Virgin_vs_rest,way,0.0009915716410510659,0.0030422878004259203,-0.0020507161593748546,128,200
nextgen_Virgin_vs_rest,stop,0.0019831432821021317,0.0,0.0019831432821021317,128,200
nextgen_Virgin_vs_rest,brain,0.0019831432821021317,0.0,0.0019831432821021317,128,200
nextgen_Virgin_vs_rest,started,0.0019831432821021317,0.0,0.0019831432821021317,128,200
nextgen_Sophomore_vs_rest,yet,0.0011527377521613833,0.0070047632390025216,-0.005852025486841138,98,230
nextgen_Sophomore_vs_rest,was,0.008069164265129682,0.0036424768842813113,0.0044266873808483705,98,230
nextgen_Sophomore_vs_rest,free,0.0069164265129683,0.002801905295601009,0.00411452121736729,98,230
nextgen_Sophomore_vs_rest,experience,0.0005763688760806917,0.004483048472961614,-0.003906679596880923,98,230
nextgen_Sophomore_vs_rest,out,0.005763688760806916,0.002241524236480807,0.003522164524326109,98,230
nextgen_Sophomore_vs_rest,day,0.0011527377521613833,0.004483048472961614,-0.0033303107208002307,98,230
